Selected,kNN (1),Unemployment Rate
No,1378.55,1.0
No,1378.55,1.5
No,1378.55,2.0
No,1378.55,2.5
No,1378.55,3.0
No,1378.55,3.5
No,1378.55,4.0
No,1378.55,4.5
No,1378.55,5.0
No,1378.55,5.5
No,1378.55,6.0
No,1378.55,6.5
No,1378.55,7.0
No,1378.55,8.0
No,1333.95,9.0
No,1223.42,10.0
No,1371.08,11.0
No,1297.92,12.0
No,1297.92,13.0
No,1228.52,14.0
No,1228.52,15.0
No,1228.52,16.0
No,1228.52,17.0
No,1228.52,18.0
No,1228.52,19.0
No,1228.52,20.0
No,1420.17,22.0
No,1420.17,24.0
No,1420.17,26.0
No,1420.17,28.0
No,1162,30.0
No,1050.4,35.0
No,1037.72,40.0
