Year,Country Name,Unemployment Rate,GDP원화_조단위,GDP달러_조단위,GDP달러_10억단위
1991,Canada,10.316,894.3,0.61,612.5
1992,Canada,11.197,867.8,0.59,594.4
1993,Canada,11.377,845.4,0.58,579.1
1994,Canada,10.395,846.7,0.58,579.9
1995,Canada,9.489,884.7,0.61,606
1996,Canada,9.620,920.7,0.63,630.6
1997,Canada,9.100,956.3,0.65,655
1998,Canada,8.278,925.6,0.63,634
1999,Canada,7.583,990.5,0.68,678.4
2000,Canada,6.829,1087.4,0.74,744.8
2001,Canada,7.219,1078.9,0.74,739
2002,Canada,7.665,1110.5,0.76,760.6
2003,Canada,7.574,1307.5,0.9,895.5
2004,Canada,7.185,1499,1.03,1026.7
2005,Canada,6.758,1712.7,1.17,1173.1
2006,Canada,6.484,1926.1,1.32,1319.3
2007,Canada,6.156,2144.5,1.47,1468.8
2008,Canada,6.284,2267.4,1.55,1553
2009,Canada,8.460,2007,1.37,1374.6
2010,Canada,8.178,2361.3,1.62,1617.3
2011,Canada,7.637,2618.3,1.79,1793.3
2012,Canada,7.392,2669.4,1.83,1828.4
2013,Canada,7.143,2696,1.85,1846.6
2014,Canada,7.023,2636.4,1.81,1805.7
2015,Canada,6.945,2272.5,1.56,1556.5
2016,Canada,7.038,2230.9,1.53,1528
2017,Canada,6.426,2407.9,1.65,1649.3
2018,Canada,5.837,2519,1.73,1725.3
2019,Canada,5.690,2545.8,1.74,1743.7
2020,Canada,9.657,2417.3,1.66,1655.7
2021,Canada,7.527,2952.7,2.02,2022.4
2022,Canada,5.279,3198,2.19,2190.4
