Selected,kNN (1),Unemployment Rate
No,3674.92,1.0
No,3674.92,1.5
No,3645.4,2.0
No,3645.4,2.5
No,3645.4,3.0
No,3645.4,3.5
No,3560.22,4.0
No,3560.23,4.5
No,3560.23,5.0
No,3560.23,5.5
No,3560.23,6.0
No,3560.23,6.5
No,3454.75,7.0
No,3454.75,8.0
No,3454.75,9.0
No,3069.02,10.0
No,3069.03,11.0
No,3069.03,12.0
No,3069.03,13.0
No,3069.03,14.0
No,3069.03,15.0
No,2831.68,16.0
No,2831.68,17.0
No,2831.68,18.0
No,2831.68,19.0
No,2831.68,20.0
No,2831.68,22.0
No,2831.68,24.0
No,2831.68,26.0
No,2831.68,28.0
No,2831.68,30.0
No,2831.68,35.0
No,2831.68,40.0
