Year,Country Name,Unemployment Rate,GDP원화_조단위,GDP달러_조단위,GDP달러_10억단위
1991,Germany,5.316,2738.7,1.88,1875.8
1992,Germany,6.323,3126.4,2.14,2141.4
1993,Germany,7.675,3035.3,2.08,2079
1994,Germany,8.727,3234.3,2.22,2215.3
1995,Germany,8.158,3785.9,2.59,2593.1
1996,Germany,8.822,3659.6,2.51,2506.6
1997,Germany,9.861,3239.4,2.22,2218.8
1998,Germany,9.787,3281.7,2.25,2247.8
1999,Germany,8.854,3232.3,2.21,2213.9
2000,Germany,7.917,2871.8,1.97,1967
2001,Germany,7.773,2870.9,1.97,1966.4
2002,Germany,8.482,3069.4,2.1,2102.4
2003,Germany,9.779,3700.7,2.53,2534.7
2004,Germany,10.727,4164.4,2.85,2852.3
2005,Germany,11.193,4224.4,2.89,2893.4
2006,Germany,10.277,4447.6,3.05,3046.3
2007,Germany,8.732,5086.7,3.48,3484.1
2008,Germany,7.508,5560.8,3.81,3808.8
2009,Germany,7.880,5080.5,3.48,3479.8
2010,Germany,7.043,5063.5,3.47,3468.2
2011,Germany,5.967,5584.2,3.82,3824.8
2012,Germany,5.372,5252.9,3.6,3597.9
2013,Germany,5.316,5559.8,3.81,3808.1
2014,Germany,4.979,5790.1,3.97,3965.8
2015,Germany,4.612,4998.4,3.42,3423.6
2016,Germany,4.104,5165.2,3.54,3537.8
2017,Germany,3.781,5494.1,3.76,3763.1
2018,Germany,3.384,5915.9,4.05,4052
2019,Germany,3.163,5777.5,3.96,3957.2
2020,Germany,3.881,5752.6,3.94,3940.1
2021,Germany,3.594,6348.5,4.35,4348.3
2022,Germany,3.120,6078.9,4.16,4163.6
