Selected,kNN (1),Unemployment Rate
No,1044.08,1.0
No,1044.08,1.5
No,1044.08,2.0
No,1044.08,2.5
No,1044.08,3.0
No,1044.08,3.5
No,1044.08,4.0
No,1044.08,4.5
No,1044.08,5.0
No,1044.08,5.5
No,1044.08,6.0
No,1044.08,6.5
No,1044.08,7.0
No,1044.08,8.0
No,1044.08,9.0
No,1044.08,10.0
No,1044.08,11.0
No,1044.08,12.0
No,1044.08,13.0
No,1044.08,14.0
No,1044.08,15.0
No,1044.08,16.0
No,1044.08,17.0
No,1044.08,18.0
No,1044.08,19.0
No,1044.08,20.0
No,1044.08,22.0
No,1174.45,24.0
No,1174.45,26.0
No,1174.45,28.0
No,1174.45,30.0
No,1174.45,35.0
No,1174.45,40.0
