Selected,kNN (1),Unemployment Rate
No,75.125,1.0
No,75.125,1.5
No,75.125,2.0
No,75.125,2.5
No,75.125,3.0
No,75.125,3.5
No,75.125,4.0
No,75.125,4.5
No,75.125,5.0
No,75.125,5.5
No,75.125,6.0
No,75.125,6.5
No,75.125,7.0
No,75.125,8.0
No,75.125,9.0
No,75.125,10.0
No,75.125,11.0
No,61.7,12.0
No,61.7,13.0
No,61.7,14.0
No,61.7,15.0
No,61.7,16.0
No,61.7,17.0
No,61.7,18.0
No,61.7,19.0
No,61.7,20.0
No,61.7,22.0
No,58.525,24.0
No,58.525,26.0
No,58.525,28.0
No,58.525,30.0
No,49.075,35.0
No,43.825,40.0
