Year,Country Name,Unemployment Rate,GDP원화_조단위,GDP달러_조단위,GDP달러_10억단위
1991,Viet Nam,2.142,14,0.01,9.6
1992,Viet Nam,2.110,14.4,0.01,9.9
1993,Viet Nam,2.038,19.2,0.01,13.2
1994,Viet Nam,1.972,23.8,0.02,16.3
1995,Viet Nam,1.955,30.3,0.02,20.7
1996,Viet Nam,1.930,36,0.02,24.7
1997,Viet Nam,2.870,39.2,0.03,26.8
1998,Viet Nam,2.290,39.7,0.03,27.2
1999,Viet Nam,2.330,41.9,0.03,28.7
2000,Viet Nam,2.260,45.5,0.03,31.2
2001,Viet Nam,2.760,47.7,0.03,32.7
2002,Viet Nam,2.120,51.2,0.04,35.1
2003,Viet Nam,2.250,57.7,0.04,39.6
2004,Viet Nam,2.140,66.3,0.05,45.4
2005,Viet Nam,2.078,84.1,0.06,57.6
2006,Viet Nam,2.046,96.9,0.07,66.4
2007,Viet Nam,2.026,113,0.08,77.4
2008,Viet Nam,1.889,144.7,0.1,99.1
2009,Viet Nam,1.737,154.8,0.11,106
2010,Viet Nam,1.114,214.9,0.15,147.2
2011,Viet Nam,0.999,252,0.17,172.6
2012,Viet Nam,1.027,285.6,0.2,195.6
2013,Viet Nam,1.316,312,0.21,213.7
2014,Viet Nam,1.256,340.8,0.23,233.5
2015,Viet Nam,1.848,349.3,0.24,239.3
2016,Viet Nam,1.848,375.4,0.26,257.1
2017,Viet Nam,1.874,410.8,0.28,281.4
2018,Viet Nam,1.161,452.8,0.31,310.1
2019,Viet Nam,1.681,488.2,0.33,334.4
2020,Viet Nam,2.103,506.1,0.35,346.6
2021,Viet Nam,2.385,535.1,0.37,366.5
2022,Viet Nam,1.523,603.6,0.41,413.4
